Reference,Version,Predetermined,Type,EAN13,Family,Catalog,"National Rate",Warranty,"Etiqueta V/f",Datasheet,Description,masterfile.tender_text,masterfile.codi_duaner,Material,Finish,Length,Width,Height,Projection,"Light source","Bulb included","Energy efficiency","Units master box","Discontinued item","Product launch","Weight packaged (KG)","Weight master box","Weight net (KG)","Volume Unit (m3)","Volume Master box (m3)","Length Box 1","Width Box 1","Height Box 1","Length Box 2","Width Box 2","Height Box 2","Length Box 3","Width Box 3","Height Box 3","Length MB 1","Width MB 1","Height MB 1","Length MB 2","Width MB 2","Height MB 2","Length MB 3","Width MB 3","Height MB 3","Wattage (W)","Lumen Output (lm)","Lumenes reales (lm)","Led Colour Temperature (K)",CRI,"Light Beam (º)","Regulation type","IP Rating",IK,"Web Image","Ambient Image 1","Ambient Image 2","Ambient Image 3","Detail Image 1","Detail Image 2",IMC,EE,Photometry,masterfile.ploma_comercial,Accessories,3D,masterfile.ies,masterfile.ldt,"Codi Kenia","Codi RETILAP","Codi Marroc","Country Code 4","Country Code 5","Country Code 6",Model
PX-0388-NEG,V0,Yes,"Surface-mounted wall light",8445386116983,Kubo,Forlight,,5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/PX-0388-NEG.html,"SURFACE-MOUNTED WALL LIGHT IP44 KUBO GU10 8W BLACK","LedsC4 Kubo PX-0388-NEG  Surface-mounted wall light for outdoor use.   For downlighting. Structure material: Polycarbonate + ABS. Structure finish: Black. Diffuser material: Polycarbonate. Diffuser finish: Transparent. UV protection. Warranty: 5 Years.  Product net weight (Kg): 0.17 Product length (mm): 70 Product height (mm): 90 Product aperture (mm): 92  Class 2. IP: IP44. IK: IK10. Total power: 8.",9405194090,"Polycarbonate + ABS, Polycarbonate","Black, Transparent",70,,90,92,,No,"NA EPREL",20,"Inactivo EN",,"0,23","4,6","0,17","0,001","0,02",100,80,105,,,,,,,,,,,,,,,,8,,,,,,,IP44,IK10,https://files.ledsc4.com/main-photo/PX-0388-NEG,,,,https://files.ledsc4.com/detail-photo/1/PX-0388-NEG,https://files.ledsc4.com/detail-photo/2/PX-0388-NEG,https://files.ledsc4.com/imc/PX-0388-NEG.html,,,,,,,,,RETILAP-APLIQUE,FX-INC-II,,,,
PX-0497-MAD,V0,Yes,"Table lamp",8445386456522,CANE,Forlight,,5,"5VDC 1000mA",https://files.ledsc4.com/ft2/en/PX-0497-MAD.html,"TABLE LAMP IP54 CANE LED 3W 4000K IMITATION WOOD 350","LedsC4 CANE PX-0497-MAD  Table lamp for outdoor use.  Structure material: Wood. Structure finish: Imitation wood. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 0.7 Product width or diameter (mm): 150 Product height (mm): 100 Product aperture (mm): 150  Class 3. IP: IP54. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 20.000h L70B50. UGR: 20.9. Photobiological risk: RG1. Real flux (lm): 182. Nominal flux (lm): 350. Real lm/W: 61. Voltage: 3. Equipment included: No, but it is needed. Total power: 3.",9405219090,"Wood, Polycarbonate","Imitation wood, Opal",,150,100,150,"1xLED 3 350 lm",Yes,F,8,"Discontinuo_NC EN",2023,"0,94","7,52","0,7","0,003","0,024",155,155,110,,,,,,,,,,,,,,,,3,350,182,4000K,80,SPOT,,IP54,,https://files.ledsc4.com/main-photo/PX-0497-MAD,,,,https://files.ledsc4.com/detail-photo/1/PX-0497-MAD,https://files.ledsc4.com/detail-photo/2/PX-0497-MAD,https://files.ledsc4.com/imc/PX-0497-MAD.html,https://files.ledsc4.com/el/PX-0497-MAD.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
PX-0498-MAD,V0,Yes,"Table lamp",8445386456539,CANE,Forlight,,5,"5VDC 1000mA",https://files.ledsc4.com/ft2/en/PX-0498-MAD.html,"TABLE LAMP IP54 CANE LED 3W 4000K IMITATION WOOD 350","LedsC4 CANE PX-0498-MAD  Table lamp for outdoor use.  Structure material: Wood. Structure finish: Imitation wood. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 0.9 Product width or diameter (mm): 150 Product height (mm): 250 Product aperture (mm): 150  Class 3. IP: IP54. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 20.000h L70B50. UGR: 20.9. Photobiological risk: RG1. Real flux (lm): 182. Nominal flux (lm): 350. Real lm/W: 61. Voltage: 3. Equipment included: No, but it is needed. Total power: 3.",9405219090,"Wood, Polycarbonate","Imitation wood, Opal",,150,250,150,"1xLED 3 350 lm",Yes,F,4,"Discontinuo_NC EN",2023,"1,89","7,56","0,9","0,008","0,032",155,155,260,,,,,,,,,,,,,,,,3,350,182,4000K,80,SPOT,,IP54,,https://files.ledsc4.com/main-photo/PX-0498-MAD,,,,https://files.ledsc4.com/detail-photo/1/PX-0498-MAD,https://files.ledsc4.com/detail-photo/2/PX-0498-MAD,https://files.ledsc4.com/imc/PX-0498-MAD.html,https://files.ledsc4.com/el/PX-0498-MAD.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0064-SAT,V0,Yes,"Table lamp",8445386355467,CROSS,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0064-SAT.html,"TABLE LAMP CROSS LED 9W 4000K ON-OFF SATIN NICKEL","LedsC4 CROSS DE-0064-SAT  Table lamp for indoor use.  Structure material: Aluminium. Structure finish: Satin nickel. Diffuser material: PVC. Diffuser finish: Opal white. Warranty: 5 Years.  Product net weight (Kg): 0.9 Product width or diameter (mm): 160 Product height (mm): 480  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 7.6W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 817. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 9. Power factor: 0.76. Dimmable equipment included: ON-OFF.",9405219090,"Aluminium, PVC","Satin nickel, Opal white",,160,480,,"1xLED 7.6 817 lm",Yes,E,6,"Discontinuo_NC EN",2022,"1,37","8,22","0,9","0,019","0,114",520,180,180,,,,,,,,,,,,,,,,9,817,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0064-SAT,,,,https://files.ledsc4.com/detail-photo/1/DE-0064-SAT,https://files.ledsc4.com/detail-photo/2/DE-0064-SAT,https://files.ledsc4.com/imc/DE-0064-SAT.html,https://files.ledsc4.com/el/DE-0064-SAT.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
05-A937-14-06,V0,Yes,"Surface-mounted wall light",8445386236834,"Drone Double",Decorative,"278,4",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/05-A937-14-06.html,"SURFACE-MOUNTED WALL LIGHT DRONE DOUBLE LED 16.3W 2700K ON-OFF WHITE 613LM","LedsC4 Drone Double 05-A937-14-06  Surface-mounted wall light for indoor use.   For frontal lighting. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Aluminium. Diffuser finish: Copper. Warranty: 5 Years.  Product net weight (Kg): 0 Product width or diameter (mm): 240 Product height (mm): 75 Product aperture (mm): 114  Class 1. Glow wire test: 850. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 14W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 2. Hours of life: 50.000h L80B20. UGR: 21.9. Photobiological risk: RG1. % de Flickering: &lt;1%. Real flux (lm): 613. Real lm/W: 38. Voltage / frequency range: 220-240VAC/47-63Hz. Voltage: 9. Equipment included: Yes. Total power: 16.3. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Aluminium","White, Copper",,240,75,114,,Yes,F,,"Discontinuo EN",2022,"1,34",,"0,8","0,009","0,042",95,40,90,280,155,110,,,,,,,,,,,,,"16,3",,613,2700K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-A937-14-06,https://files.ledsc4.com/ambience-photo/1/05-A937-14-06,,,,,https://files.ledsc4.com/imc/05-A937-14-06.html,https://files.ledsc4.com/el/05-A937-14-06.html,https://files.ledsc4.com/fm/05-A937-14-06.html,,,https://files.ledsc4.com/3d/05-A937-14-06.html,https://files.ledsc4.com/ies/05-A937-14-06.html,https://files.ledsc4.com/ldt/05-A937-14-06.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Drone Double"
05-A937-14-21,V0,Yes,"Surface-mounted wall light",8445386236841,"Drone Double",Decorative,"278,4",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/05-A937-14-21.html,"SURFACE-MOUNTED WALL LIGHT DRONE DOUBLE LED 16.3W 2700K ON-OFF WHITE 613LM","LedsC4 Drone Double 05-A937-14-21  Surface-mounted wall light for indoor use.   For frontal lighting. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Aluminium. Diffuser finish: Chrome. Warranty: 5 Years.  Product net weight (Kg): 0 Product width or diameter (mm): 240 Product height (mm): 75 Product aperture (mm): 114  Class 1. Glow wire test: 850. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 14W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 2. Hours of life: 50.000h L80B20. UGR: 20.0. Photobiological risk: RG1. % de Flickering: &lt;1%. Real flux (lm): 613. Real lm/W: 38. Voltage / frequency range: 220-240VAC/47-63Hz. Voltage: 9. Equipment included: Yes. Total power: 16.3. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Aluminium","White, Chrome",,240,75,114,,Yes,F,,"Discontinuo EN",2022,"1,34",,"0,8","0,009","0,042",100,45,100,280,155,110,,,,,,,,,,,,,"16,3",,613,2700K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-A937-14-21,https://files.ledsc4.com/ambience-photo/1/05-A937-14-21,,,,,https://files.ledsc4.com/imc/05-A937-14-21.html,https://files.ledsc4.com/el/05-A937-14-21.html,https://files.ledsc4.com/fm/05-A937-14-21.html,,,https://files.ledsc4.com/3d/05-A937-14-21.html,https://files.ledsc4.com/ies/05-A937-14-21.html,https://files.ledsc4.com/ldt/05-A937-14-21.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Drone Double"
05-A937-14-F5,V0,Yes,"Surface-mounted wall light",8445386236858,"Drone Double",Decorative,"278,4",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/05-A937-14-F5.html,"SURFACE-MOUNTED WALL LIGHT DRONE DOUBLE LED 16.3W 2700K ON-OFF WHITE 613LM","LedsC4 Drone Double 05-A937-14-F5  Surface-mounted wall light for indoor use.   For frontal lighting. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: White. Diffuser material: Aluminium. Diffuser finish: Gold. Warranty: 5 Years.  Product net weight (Kg): 0 Product width or diameter (mm): 240 Product height (mm): 75 Product aperture (mm): 114  Class 1. Glow wire test: 850. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 14W. Colour temperature: 2700K. Colour rendering index: 80. MacAdam Steps: 2. Hours of life: 50.000h L80B20. UGR: 21.9. Photobiological risk: RG1. % de Flickering: &lt;1%. Real flux (lm): 613. Real lm/W: 38. Voltage / frequency range: 220-240VAC/47-63Hz. Voltage: 9. Equipment included: Yes. Total power: 16.3. Power factor: 0.90. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, Aluminium","White, Gold",,240,75,114,,Yes,F,,"Discontinuo EN",2022,"1,34",,"0,8","0,009","0,042",95,40,90,280,155,110,,,,,,,,,,,,,"16,3",,613,2700K,80,FLOOD,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/05-A937-14-F5,https://files.ledsc4.com/ambience-photo/1/05-A937-14-F5,,,https://files.ledsc4.com/detail-photo/1/05-A937-14-F5,,https://files.ledsc4.com/imc/05-A937-14-F5.html,https://files.ledsc4.com/el/05-A937-14-F5.html,https://files.ledsc4.com/fm/05-A937-14-F5.html,,,https://files.ledsc4.com/3d/05-A937-14-F5.html,https://files.ledsc4.com/ies/05-A937-14-F5.html,https://files.ledsc4.com/ldt/05-A937-14-F5.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Drone Double"
DE-0058-NEG,V0,Yes,Pendant,8445386346960,Tress,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0058-NEG.html,"PENDANT IP20 TRESS LED 20.3W 4000K ON-OFF BLACK","LedsC4 Tress DE-0058-NEG  Pendant for indoor use.  Structure material: Steel. Structure finish: Black. Diffuser material: Silicone. Diffuser finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.79 Product length (mm): 930 Product width or diameter (mm): 200 Product height (mm): 1300  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 20.3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 2621. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 23.5. Power factor: 0.82. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Silicone","Black, White",930,200,1300,,"1xLED 20.3 2621 lm",Yes,F,3,"Discontinuo_NC EN",2022,"1,53","4,59","0,79","0,016","0,048",940,220,65,,,,,,,,,,,,,,,,"23,5",2621,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0058-NEG,,,,https://files.ledsc4.com/detail-photo/1/DE-0058-NEG,https://files.ledsc4.com/detail-photo/2/DE-0058-NEG,https://files.ledsc4.com/imc/DE-0058-NEG.html,https://files.ledsc4.com/el/DE-0058-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0057-NEG,V0,Yes,"Surface-mounted ceiling light",8445386346977,Tress,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0057-NEG.html,"SURFACE-MOUNTED CEILING LIGHT IP20 TRESS LED 20.3W 4000K ON-OFF BLACK","LedsC4 Tress DE-0057-NEG  Surface-mounted ceiling light for indoor use.  Structure material: Steel. Structure finish: Black. Diffuser material: Silicone. Diffuser finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.79 Product length (mm): 930 Product width or diameter (mm): 200 Product height (mm): 140  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 20.3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 2621. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 23.5. Power factor: 0.82. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Silicone","Black, White",930,200,140,,"1xLED 20.3 2621 lm",Yes,F,3,"Discontinuo_NC EN",2022,"1,67","5,01","0,79","0,032","0,096",945,185,165,,,,,,,,,,,,,,,,"23,5",2621,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0057-NEG,,,,https://files.ledsc4.com/detail-photo/1/DE-0057-NEG,https://files.ledsc4.com/detail-photo/2/DE-0057-NEG,https://files.ledsc4.com/imc/DE-0057-NEG.html,https://files.ledsc4.com/el/DE-0057-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0056-NEG,V0,Yes,"Floor lamp",8445386346984,Tress,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0056-NEG.html,"FLOOR LAMP IP20 TRESS LED 24W 4000K ON-OFF BLACK","LedsC4 Tress DE-0056-NEG  Floor lamp for indoor use.  Structure material: Steel. Structure finish: Black. Diffuser material: Silicone. Diffuser finish: White. Warranty: 5 Years.  Product net weight (Kg): 2.63 Product width or diameter (mm): 250 Product height (mm): 1600 Product aperture (mm): 600  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 24W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 3099. Voltage / frequency range: 220-240V/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 26. Power factor: 0.80. Dimmable equipment included: ON-OFF.",9405219090,"Steel, Silicone","Black, White",,250,1600,600,"1xLED 24 3099 lm",Yes,E,4,"Discontinuo_NC EN",2022,"3,96","15,84","2,63","0,045","0,18",1750,290,80,,,,,,,,,,,,,,,,26,3099,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0056-NEG,,,,https://files.ledsc4.com/detail-photo/1/DE-0056-NEG,https://files.ledsc4.com/detail-photo/2/DE-0056-NEG,https://files.ledsc4.com/imc/DE-0056-NEG.html,https://files.ledsc4.com/el/DE-0056-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0066-SAT,V0,Yes,"Surface-mounted ceiling light",8445386355054,Rolly,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0066-SAT.html,"SURFACE-MOUNTED CEILING LIGHT IP20 ROLLY LED 25W 4000K ON-OFF SATIN NICKEL","LedsC4 Rolly DE-0066-SAT  Surface-mounted ceiling light for indoor use.  Structure material: Steel. Structure finish: Satin nickel. Diffuser material: Polycarbonate. Diffuser finish: White. Warranty: 5 Years.  Product net weight (Kg): 1.12 Product width or diameter (mm): 1000 Product height (mm): 250 Product aperture (mm): 200  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 25W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 3060. Voltage / frequency range: 220-240/50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 28. Power factor: 0.94. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Polycarbonate","Satin nickel, White",,1000,250,200,"1xLED 25 3060 lm",Yes,E,1,"Discontinuo_NC EN",2022,"2,53","2,53","1,12","0,093","0,093",1035,295,305,,,,,,,,,,,,,,,,28,3060,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0066-SAT,,,,https://files.ledsc4.com/detail-photo/1/DE-0066-SAT,https://files.ledsc4.com/detail-photo/2/DE-0066-SAT,https://files.ledsc4.com/imc/DE-0066-SAT.html,https://files.ledsc4.com/el/DE-0066-SAT.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0060-SAT,V0,Yes,"Table lamp",8445386347004,Rolly,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0060-SAT.html,"TABLE LAMP ROLLY LED 12W 4000K ON-OFF SATIN NICKEL","LedsC4 Rolly DE-0060-SAT  Table lamp for indoor use.  Structure material: Polycarbonate. Structure finish: Satin nickel. Diffuser material: Polycarbonate. Diffuser finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.46 Product width or diameter (mm): 250 Product height (mm): 410  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 9.3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 1138. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 12. Power factor: 0.76. Dimmable equipment included: ON-OFF.",9405214000,"Polycarbonate, Polycarbonate","Satin nickel, White",,250,410,,"1xLED 9.3 1138 lm",Yes,F,1,"Discontinuo_NC EN",2022,"0,97","0,97","0,46","0,029","0,029",425,260,260,,,,,,,,,,,,,,,,12,1138,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0060-SAT,https://files.ledsc4.com/ambience-photo/1/DE-0060-SAT,,,https://files.ledsc4.com/detail-photo/1/DE-0060-SAT,,https://files.ledsc4.com/imc/DE-0060-SAT.html,https://files.ledsc4.com/el/DE-0060-SAT.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0070-NEG,V0,Yes,Pendant,8445386355528,Cercle,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0070-NEG.html,"PENDANT CERCLE LED E27 21.6.,15W 4000K ON-OFF BLACK","LedsC4 Cercle DE-0070-NEG  Pendant for indoor use.   For downlighting. Structure material: Steel. Structure finish: Black. Diffuser material: Silicone. Diffuser finish: Opal white. Warranty: 5 Years.  Product net weight (Kg): 1.42 Product width or diameter (mm): 395 Product height (mm): 1200  Class 2. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 21.6W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 2880. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 39. Power factor: 0.84. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Silicone","Black, Opal white",,395,1200,,"1xLED 21.6 2880 lm",Yes,E,4,"Discontinuo_NC EN",2022,"2,49","9,96","1,42","0,044","0,176",420,225,425,,,,,,,,,,,,,,,,39,2880,,4000K,80,,ON-OFF,,,https://files.ledsc4.com/main-photo/DE-0070-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0070-NEG,,,https://files.ledsc4.com/detail-photo/1/DE-0070-NEG,https://files.ledsc4.com/detail-photo/2/DE-0070-NEG,https://files.ledsc4.com/imc/DE-0070-NEG.html,https://files.ledsc4.com/el/DE-0070-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
DE-0083-NEG,V0,Yes,Pendant,8445386367811,Cercle,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0083-NEG.html,"PENDANT CERCLE LED 21.3W 4000K ON-OFF BLACK","LedsC4 Cercle DE-0083-NEG  Pendant for indoor use.   For downlighting. Structure material: Steel. Structure finish: Black. Diffuser material: Silicone. Diffuser finish: Opal white. Warranty: 5 Years.  Product net weight (Kg): 1.19 Product width or diameter (mm): 390 Product height (mm): 1200  Class 2. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 21.3W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 3000. Voltage / frequency range: 220-240. Voltage: 3. Equipment included: Yes. Total power: 24. Power factor: 0.84. Dimmable equipment included: ON-OFF.",9405119090,"Steel, Silicone","Black, Opal white",,390,1200,,"1xLED 21.3 3000 lm",Yes,F,4,"Discontinuo_NC EN",2022,"2,08","8,32","1,19","0,034","0,136",415,180,415,,,,,,,,,,,,,,,,24,3000,,4000K,80,,ON-OFF,,,https://files.ledsc4.com/main-photo/DE-0083-NEG,https://files.ledsc4.com/ambience-photo/1/DE-0083-NEG,,,https://files.ledsc4.com/detail-photo/1/DE-0083-NEG,https://files.ledsc4.com/detail-photo/2/DE-0083-NEG,https://files.ledsc4.com/imc/DE-0083-NEG.html,https://files.ledsc4.com/el/DE-0083-NEG.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-II,,,,
PX-0547-MAD,V0,Yes,Chillout,8445386485935,Estela,DIY,,5,Solar,https://files.ledsc4.com/ft2/en/PX-0547-MAD.html,"PENDANT CHILLOUT IP44 ESTELA LED 1W LED WARM-WHITE 2500K IMITATION WOOD 5","LedsC4 Estela PX-0547-MAD  Chillout  Structure material: Plastic. Structure finish: Imitation wood. Diffuser material: Plastic. Diffuser finish: Transparent. Warranty: 5 Years.  Product net weight (Kg): 0.41 Product length (mm): 3500 Product width or diameter (mm): 80 Product height (mm): 70  IP: IP44. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 1W. Colour temperature: 2500K. Colour rendering index: 80. MacAdam Steps: 5. Hours of life: 36.000h L70B30. Photobiological risk: RG0. Nominal flux (lm): 5. Voltage: 3. Equipment included: No. Total power: 1.",9405114090,"Plastic, Plastic","Imitation wood, Transparent",3500,80,70,,"1xLED 1 5 lm",Yes,"NA EPREL",20,"Discontinuo_NC EN",2023,"0,52","10,4","0,41","0,003","0,06",170,90,175,,,,,,,,,,,,,,,,1,5,,"LED warm-white 2500K",80,,,IP44,,https://files.ledsc4.com/main-photo/PX-0547-MAD,https://files.ledsc4.com/ambience-photo/1/PX-0547-MAD,https://files.ledsc4.com/ambience-photo/2/PX-0547-MAD,https://files.ledsc4.com/ambience-photo/3/PX-0547-MAD,https://files.ledsc4.com/detail-photo/1/PX-0547-MAD,https://files.ledsc4.com/detail-photo/2/PX-0547-MAD,https://files.ledsc4.com/imc/PX-0547-MAD.html,,,,,,,,,RETILAP-SOLAR,FX-LED-II,,,,
DE-0063-SAT,V0,Yes,"Surface-mounted ceiling light",8445386368962,RIPPE,DIY,,5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/DE-0063-SAT.html,"SURFACE-MOUNTED CEILING LIGHT IP20 RIPPE LED 9W 4000K ON-OFF SATIN NICKEL","LedsC4 RIPPE DE-0063-SAT  Surface-mounted ceiling light  Structure material: Aluminium. Structure finish: Satin nickel. Diffuser material: PVC. Diffuser finish: Opal white. Warranty: 5 Years.  Product net weight (Kg): 0.29 Product length (mm): 70 Product width or diameter (mm): 570 Product height (mm): 90  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 9W. Colour temperature: 4000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 36.000h L70B30. Photobiological risk: RG0. % de Flickering: &lt;5%. Nominal flux (lm): 1200. Voltage / frequency range: 220-240V/ 50-60Hz. Voltage: 3. Equipment included: Yes. Total power: 12. Power factor: 0.86. Dimmable equipment included: ON-OFF.",9405119090,"Aluminium, PVC","Satin nickel, Opal white",70,570,90,,"1xLED 9 1200 lm",Yes,F,8,"Discontinuo_NC EN",,"0,48","3,84","0,29","0,005","0,04",565,95,75,,,,,,,,,,,,,,,,12,1200,,4000K,80,,ON-OFF,IP20,,https://files.ledsc4.com/main-photo/DE-0063-SAT,,,,https://files.ledsc4.com/detail-photo/1/DE-0063-SAT,https://files.ledsc4.com/detail-photo/2/DE-0063-SAT,https://files.ledsc4.com/imc/DE-0063-SAT.html,https://files.ledsc4.com/el/DE-0063-SAT.html,,,,,,,,RETILAP-DECORATIVE,FX-LED-I,,,,
