SKU,INVENTARIO
35-6062-60-OU,3
35-6063-14-OU,6
35-6273-14-MS,0
35-6273-60-MS,3
35-6276-60-MS,1
35-6277-60-MS,1
35-6279-14-MS,4
35-6281-14-MS,1
35-6283-14-MS,1
35-6283-60-MS,5
35-6285-14-MS,1
35-6289-60-MS,0
35-6290-60-MS,1
35-6635-14-OU,7
35-6641-60-OS,12
35-7279-60-XB,30
35-7280-60-XB,16
35-7283-14-XB,19
35-7285-14-00,67
35-7286-60-00,0
35-7289-60-XB,43
35-7323-60-EF,2
35-7323-60-OF,1
35-7324-14-OF,1
35-7525-14-OU,4
35-7527-60-OU,2
35-7529-14-OU,10
35-7529-60-OU,1
35-7530-60-EU,1
35-7533-60-OU,1
35-8035-14-00,186
35-8035-60-00,142
35-8036-14-00,37
35-8036-60-00,89
35-8037-14-00,229
35-8037-60-00,98
35-8038-14-00,92
35-A009-14-ES,12
35-A015-60-ES,0
35-A020-60-OS,8
35-A054-14-OS,359
35-A054-60-OS,28
35-A055-14-OS,0
35-A055-60-OS,198
35-A056-14-DS,0
35-A056-60-OS,1
35-A057-14-DS,1
35-A057-14-OS,0
35-A057-60-OS,221
35-A058-14-DS,4
35-A058-14-OS,7
35-A058-60-OS,0
35-A059-14-OS,0
35-A059-60-DS,1
35-A063-60-XB,41
35-A064-14-XB,12
35-A095-G7-OS,56
35-A122-G7-OS,303
35-A130-G7-OS,47
35-A131-G7-OS,109
35-A131-H2-OS,38
35-A135-14-00,58
35-A135-14-DA,5
35-A136-14-00,28
35-A136-14-DA,24
35-A183-14-DS,6
35-A186-14-OS,0
489-AL,0
510-CR,49
55-1574-14-00,501
55-3401-N3-M3,20
55-8024-14-00,0
55-8025-N3-00,618
55-8026-14-00,246
55-8027-N3-00,800
55-9155-M1-M1,0
55-9156-M1-M1,0
55-9239-CA-M2,0
55-9305-48-48,4
55-9305-Z5-Z5,5
55-9390-14-M1,0
55-9390-Z5-M3,2
55-9479-34-M2,0
55-9481-M1-M1,3
55-9486-Y4-37,1
55-9488-Z5-M3,0
55-9504-J6-M2,1
55-9549-Z5-M3,0
55-9665-CA-37,73
55-9665-CA-CL,112
55-9667-CA-CL,238
55-9667-CA-CM,8
55-9733-05-CK,0
